
GARMENT          IoU         PRECISION   RECALL      F1 SCORE  

background       0.7723      0.8257      0.9231      0.8661    
hat              0.5111      0.7313      0.6612      0.6393    
hair             0.5008      0.7263      0.6127      0.6207    
face             0.5761      0.7682      0.6972      0.6984    
glove            0.1645      0.764       0.1819      0.2533    
left-arm         0.307       0.7158      0.3393      0.4125    
right-arm        0.3228      0.735       0.3576      0.4312    
coat             0.5788      0.772       0.6939      0.6819    
upperclothes     0.5895      0.7413      0.7181      0.6878    
dress            0.3452      0.8991      0.3636      0.4521    
jumpsuits        0.2766      0.9599      0.2847      0.3835    
pants            0.6002      0.7724      0.7063      0.7049    
skirt            0.1624      0.9586      0.1791      0.2383    
left-leg         0.3828      0.6376      0.4248      0.4781    
right-leg        0.3772      0.636       0.4201      0.4701    
socks            0.2348      0.7498      0.2724      0.3446    
left-shoe        0.2416      0.4905      0.3055      0.3389    
right-shoe       0.244       0.4885      0.3108      0.341     

mIoU score for all garments combined: 0.35939
