
GARMENT          IoU         PRECISION   RECALL      F1 SCORE  

background       0.8572      0.9113      0.9321      0.9185    
hat              0.6745      0.823       0.7952      0.7813    
hair             0.6536      0.8374      0.738       0.7559    
glove            0.4444      0.7915      0.5209      0.5721    
sunglasses       0.3421      0.8571      0.3973      0.4596    
upperclothes     0.7082      0.8261      0.8062      0.7847    
dress            0.5075      0.886       0.5516      0.5962    
coat             0.6592      0.8519      0.7339      0.7429    
socks            0.5146      0.7964      0.6017      0.6345    
pants            0.7313      0.8444      0.8227      0.8125    
jumpsuits        0.6284      0.9215      0.6611      0.7085    
scarf            0.3028      0.8001      0.3693      0.4213    
skirt            0.5325      0.9047      0.5759      0.6242    
face             0.6884      0.8173      0.8112      0.7921    
left-arm         0.5955      0.7983      0.6779      0.7011    
right-arm        0.6084      0.7936      0.701       0.7136    
left-leg         0.6267      0.7927      0.7023      0.716     
right-leg        0.6279      0.774       0.7162      0.7175    
left-shoe        0.5061      0.6871      0.6284      0.6214    
right-shoe       0.5076      0.6739      0.644       0.6239    

mIoU score for all garments combined: 0.58585
